easting,northing,id,name1,name2,latitude,longitude,country_code,state_fips,county,admin3,admin4,population,elevation_meters,dem,timezone
-9770851.231,3617558.581,4046255,Bay Minette,Bay Minette,30.88296,-87.77305,US,AL,3,,,8044,82,85,America/Chicago
-10758593.53,3372921.304,4046274,Edna,Edna,28.97859,-96.64609,US,TX,239,,,5499,20,24,America/Chicago
-9823780.31,3555524.747,4046319,Bayou La Batre,Bayou La Batre,30.40352,-88.24852,US,AL,97,,,2558,2,5,America/Chicago
-10553018.71,3783439.98,4046332,Henderson,Henderson,32.15322,-94.79938,US,TX,401,,,13712,156,160,America/Chicago
-11005326.5,3399810.271,4046430,Natalia,Natalia,29.18968,-98.86253,US,TX,325,,,1431,209,211,America/Chicago
-9762783.908,4065763.603,4046499,Bear Creek,Bear Creek,34.27482,-87.70058,US,AL,93,,,1070,246,248,America/Chicago
-8578060.661,4683482.259,4046704,Fort Hunt,Fort Hunt,38.73289,-77.05803,US,VA,59,,,16045,10,16,America/New_York
-8517017.505,4472439.311,4046946,Yorktown,Yorktown,37.23876,-76.50967,US,VA,199,,,195,2,4,America/New_York
-9678919.143,3953090.26,4047198,Brighton,Brighton,33.43428,-86.94721,US,AL,73,,,2945,155,161,America/Chicago
-8358877.037,4656720.369,4047734,Ocean View,Ocean View,38.54511,-75.08907,US,DE,5,,,1882,4,4,America/New_York
-9751588.507,3983216.454,4047827,Berry,Berry,33.65983,-87.60001,US,AL,57,,,1148,139,140,America/Chicago
-9204092.534,3271794.03,4047906,Trinity,Trinity,28.18085,-82.68177,US,FL,101,,,10907,6,15,America/New_York
-9113581.996,3067405.37,4047914,Villas,Villas,26.55035,-81.8687,US,FL,71,,,11569,3,6,America/New_York
-9679723.983,3948755.777,4048023,Bessemer,Bessemer,33.40178,-86.95444,US,AL,73,,,27456,155,161,America/Chicago
-9451173.936,4729839.625,4048332,Aurora,Aurora,39.057,-84.90134,US,IN,29,,,3750,148,150,America/New_York
-9575359.734,4651021.605,4048388,New Pekin,New Pekin,38.50506,-86.01692,US,IN,175,,,1401,217,219,America/Indiana/Indianapolis
-11050140.39,4784617.018,4048488,Stockton,Stockton,39.43807,-99.2651,US,KS,163,,,1329,549,556,America/Chicago
-9862912.45,4450736.661,4048662,Paducah,Paducah,37.08339,-88.60005,US,KY,145,,,25024,104,104,America/Chicago
-10173933.54,3841871.709,4048850,Monticello,Monticello,32.59653,-91.394,US,LA,35,,,4718,26,29,America/Chicago
-10420977.1,3836514.956,4048888,Red Chute,Red Chute,32.55598,-93.61323,US,LA,15,,,6261,65,67,America/Chicago
-8546581.736,4743075.83,4049032,Jessup,Jessup,39.14927,-76.77525,US,MD,3,,,7137,63,70,America/New_York
-9662808.986,3964618.551,4049979,Birmingham,Birmingham,33.52066,-86.80249,US,AL,73,,,212237,187,187,America/Chicago
-9419044.905,4734978.844,4050006,Delhi Hills,Delhi Hills,39.09284,-84.61272,US,OH,61,,,5259,266,267,America/New_York
-9393131.954,4737449.007,4050118,Turpin Hills,Turpin Hills,39.11006,-84.37994,US,OH,61,,,5099,198,202,America/New_York
-8982286.222,4059373.275,4050356,Lugoff,Lugoff,34.22737,-80.68925,US,SC,55,,,7434,80,85,America/New_York
-9639277.159,4039749.398,4050655,Blountsville,Blountsville,34.08149,-86.5911,US,AL,9,,,1684,217,220,America/Chicago
-9594684.798,3828152.428,4050879,Blue Ridge,Blue Ridge,32.49264,-86.19052,US,AL,51,,,1341,112,123,America/Chicago
-10891530.15,3514507.504,4050880,Buda,Buda,30.08521,-97.84028,US,TX,209,,,7295,214,220,America/Chicago
-9591996.432,4055776.345,4051059,Boaz,Boaz,34.20065,-86.16637,US,AL,95,,,9551,325,328,America/Chicago
-9703132.246,3886991.173,4051669,Brent,Brent,32.93735,-87.16472,US,AL,7,,,4947,73,74,America/Chicago
-9692831.853,3646416.315,4051714,Brewton,Brewton,31.10518,-87.07219,US,AL,53,,,5408,25,28,America/Chicago
-9541685.588,4156759.755,4051774,Bridgeport,Bridgeport,34.94758,-85.71442,US,AL,71,,,2418,205,203,America/Chicago
-9648492.187,3953274.345,4051894,Brook Highland,Brook Highland,33.43566,-86.67388,US,AL,117,,,6746,182,189,America/Chicago
-9675518.333,3980281.184,4051955,Brookside,Brookside,33.63788,-86.91666,US,AL,73,,,1363,110,118,America/Chicago
-9720510.331,3929289.258,4051971,Brookwood,Brookwood,33.25567,-87.32083,US,AL,125,,,1828,183,184,America/Chicago
-9553000.101,3726633.073,4052177,Brundidge,Brundidge,31.72016,-85.81606,US,AL,109,,,2076,144,150,America/Chicago
-9820824.777,3775076.461,4052726,Butler,Butler,32.08959,-88.22197,US,AL,23,,,1894,54,56,America/Chicago
-9569143.654,3976976.391,4052824,Bynum,Bynum,33.61316,-85.96108,US,AL,15,,,1795,182,189,America/Chicago
-9654954.283,3957055.4,4052964,Cahaba Heights,Cahaba Heights,33.464,-86.73193,US,AL,73,,,5287,196,201,America/Chicago
-9657366.576,3908970.196,4053050,Calera,Calera,33.1029,-86.7536,US,AL,117,,,11620,154,156,America/Chicago
-9717139.577,3762126.67,4053200,Camden,Camden,31.99098,-87.29055,US,AL,131,,,2020,64,66,America/Chicago
-9534911.797,3868841.596,4053318,Camp Hill,Camp Hill,32.80041,-85.65357,US,AL,123,,,1014,217,218,America/Chicago
-9743363.11,4014278.623,4053671,Carbon Hill,Carbon Hill,33.89177,-87.52612,US,AL,127,,,2021,146,147,America/Chicago
-9806693.881,3930103.984,4053823,Carrollton,Carrollton,33.26179,-88.09503,US,AL,107,,,1019,75,75,America/Chicago
-9529810.025,4058393.16,4054073,Cedar Bluff,Cedar Bluff,34.22009,-85.60774,US,AL,19,,,1820,181,177,America/Chicago
-9649574.212,3981321.481,4054378,Center Point,Center Point,33.64566,-86.6836,US,AL,73,,,16921,253,256,America/Chicago
-9537725.954,4049235.6,4054555,Centre,Centre,34.15204,-85.67885,US,AL,19,,,3489,202,201,America/Chicago
-9697785.57,3888165.089,4054566,Centreville,Centreville,32.9462,-87.11669,US,AL,7,,,2778,77,115,America/Chicago
-9645585.635,3982324.427,4054593,Chalkville,Chalkville,33.65316,-86.64777,US,AL,73,,,3901,266,268,America/Chicago
-9824441.547,3693308.821,4054818,Chatom,Chatom,31.46517,-88.25446,US,AL,129,,,1288,57,61,America/Chicago
