X,Y,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
-92.684016475942713,36.268729344106376,05,089,00069898,0500000US05089,05089,Marion,06,1546245372.000000000000000,112149491.000000000000000
-120.404944649287359,35.388009839105223,06,079,00277304,0500000US06079,06079,San Luis Obispo,06,8548549787.000000000000000,815580311.000000000000000
-88.452638304333448,42.32467613958746,17,111,01784815,0500000US17111,17111,McHenry,06,1562336303.000000000000000,19832927.000000000000000
-96.013931351437108,39.783775372469236,20,131,00485029,0500000US20131,20131,Nemaha,06,1858124408.000000000000000,5208990.000000000000000
-88.23909196030435,34.740762947929802,28,141,00695791,0500000US28141,28141,Tishomingo,06,1098939230.000000000000000,52359814.000000000000000
-82.045232800949265,39.334207785515247,39,009,01074018,0500000US39009,39009,Athens,06,1304383717.000000000000000,12463892.000000000000000
-102.784447466028411,34.530221899167344,48,369,01383970,0500000US48369,48369,Parmer,06,2281212181.000000000000000,11355762.000000000000000
-100.270358646706299,35.837951606091458,48,211,01383891,0500000US48211,48211,Hemphill,06,2347272199.000000000000000,15205585.000000000000000
-87.127540087704858,32.998609491462318,01,007,00161529,0500000US01007,01007,Bibb,06,1612481559.000000000000000,9287974.000000000000000
-90.663108711178594,35.574972221469714,05,111,00069174,0500000US05111,05111,Poinsett,06,1964145925.000000000000000,13522955.000000000000000
-91.131394021464416,42.121424202127116,19,105,00465241,0500000US19105,19105,Jones,06,1490850795.000000000000000,3582589.000000000000000
-96.152799873899411,38.456364023541965,20,111,00485020,0500000US20111,20111,Lyon,06,2194958185.000000000000000,20561715.000000000000000
-100.906664179514323,38.482537093914253,20,171,00485048,0500000US20171,20171,Scott,06,1858536845.000000000000000,306079.000000000000000
-92.828018529763284,30.652833516914555,22,003,00558397,0500000US22003,22003,Allen,15,1973084287.000000000000000,10634064.000000000000000
-93.58720519371532,44.022326263748333,27,161,00659525,0500000US27161,27161,Waseca,06,1096487832.000000000000000,24907891.000000000000000
-91.400374738473843,37.157871138241795,29,203,00758554,0500000US29203,29203,Shannon,06,2599881254.000000000000000,464011.000000000000000
-96.787309146718215,41.916613148639726,31,039,00835841,0500000US31039,31039,Cuming,06,1477895811.000000000000000,10447360.000000000000000
-83.76969256625614,40.137763819650736,39,021,01074023,0500000US39021,39021,Champaign,06,1110247662.000000000000000,3015668.000000000000000
-84.131651228688781,41.02232262166509,39,137,01074081,0500000US39137,39137,Putnam,06,1249724515.000000000000000,4603964.000000000000000
-96.777889934100529,32.76691967772468,48,113,01383842,0500000US48113,48113,Dallas,06,2261192991.000000000000000,92106631.000000000000000
-101.520775659984068,31.869686347840783,48,173,01383872,0500000US48173,48173,Glasscock,06,2331552809.000000000000000,2245298.000000000000000
-98.687547576361197,33.615976622088283,48,009,01383790,0500000US48009,48009,Archer,06,2339055582.000000000000000,57765519.000000000000000
-91.924914284830876,38.1617961126694,29,125,00758516,0500000US29125,29125,Maries,06,1364869337.000000000000000,7636521.000000000000000
-98.50212710720696,40.872838905487853,31,079,00835861,0500000US31079,31079,Hall,06,1414817883.000000000000000,15229247.000000000000000
-103.010604921903379,41.717071341626379,31,123,00835883,0500000US31123,31123,Morrill,06,3687727802.000000000000000,15598670.000000000000000
-66.753520400335503,18.179666915724098,72,001,01804480,0500000US72001,72001,Adjuntas,13,172725733.000000000000000,1051790.000000000000000
-87.722868774571694,30.729171875945664,01,003,00161527,0500000US01003,01003,Baldwin,06,4117584013.000000000000000,1133129224.000000000000000
-113.980638456646886,33.730824271810832,04,012,00043540,0500000US04012,04012,La Paz,06,11654000682.000000000000000,36568021.000000000000000
-102.60231606459665,39.305570043790809,08,063,00198147,0500000US08063,08063,Kit Carson,06,5596501602.000000000000000,2251930.000000000000000
-84.924929953659756,39.625231038382367,18,161,00450395,0500000US18161,18161,Union,06,417568568.000000000000000,10238515.000000000000000
-101.311903316804816,37.192561009075483,20,189,00485056,0500000US20189,20189,Stevens,06,1883604192.000000000000000,464936.000000000000000
-86.015042133716776,44.639243093786206,26,019,01622952,0500000US26019,26019,Benzie,06,828029229.000000000000000,1398237661.000000000000000
-112.901566545800023,45.13688195061011,30,001,01719627,0500000US30001,30001,Beaverhead,06,14355471225.000000000000000,78345572.000000000000000
-74.023931805065544,41.152379548811993,36,087,00974142,0500000US36087,36087,Rockland,06,449372977.000000000000000,66914608.000000000000000
-120.689267795555452,45.405968895915734,41,055,01135863,0500000US41055,41055,Sherman,06,2133345227.000000000000000,19403373.000000000000000
-76.520118760676965,37.106302833601696,51,700,01498555,0500000US51700,51700,Newport News,25,178332756.000000000000000,131488033.000000000000000
