X,Y,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
-99.332321790817304,31.462004618961487,48,01779801,0400000US48,48,TX,Texas,00,676634395761.000000000000000,19027462392.000000000000000
-119.611119606354634,37.242214472992913,06,01779778,0400000US06,06,CA,California,00,403488955894.000000000000000,20477992907.000000000000000
-85.289017106874866,37.525946902746142,21,01779786,0400000US21,21,KY,Kentucky,00,102266253024.000000000000000,2389483091.000000000000000
-83.443360929509794,32.648094502807027,13,01705317,0400000US13,13,GA,Georgia,00,149169759045.000000000000000,4740824950.000000000000000
-90.009452678692654,44.639025446481035,55,01779806,0400000US55,55,WI,Wisconsin,00,140269484183.000000000000000,29365442607.000000000000000
-120.556738397633765,43.936925564924969,41,01155107,0400000US41,41,OR,Oregon,00,248608778890.000000000000000,6190771822.000000000000000
-78.78780844909879,37.512599785508336,51,01779803,0400000US51,51,VA,Virginia,00,102282988386.000000000000000,8503553482.000000000000000
-86.340639379871391,35.84331827605444,47,01325873,0400000US47,47,TN,Tennessee,00,106800181941.000000000000000,2352826875.000000000000000
-91.945490498374056,31.020175543389332,22,01629543,0400000US22,22,LA,Louisiana,00,111903220951.000000000000000,23747902252.000000000000000
-75.497976277167083,42.937229031802964,36,01779796,0400000US36,36,NY,New York,00,122054140553.000000000000000,19242497698.000000000000000
-85.437668715068355,44.371540571243166,26,01779789,0400000US26,26,MI,Michigan,00,146455475554.000000000000000,104031185771.000000000000000
-114.658719532512634,44.390333120738852,16,01779783,0400000US16,16,ID,Idaho,00,214042831252.000000000000000,2397619893.000000000000000
-82.495808394913936,28.595303201193893,12,00294478,0400000US12,12,FL,Florida,00,138904831800.000000000000000,31406193924.000000000000000
-152.076697307497795,64.102455690275775,02,01785533,0400000US02,02,AK,Alaska,00,1477946338495.000000000000000,245391672906.000000000000000
-109.643033672360502,47.034332248223862,30,00767982,0400000US30,30,MT,Montana,00,376964776680.000000000000000,3868193267.000000000000000
-94.306335722363613,46.317929503113717,27,00662849,0400000US27,27,MN,Minnesota,00,206236191895.000000000000000,18924724649.000000000000000
-99.810265380664106,41.527193931078259,31,01779792,0400000US31,31,NE,Nebraska,00,198972429772.000000000000000,1356294775.000000000000000
-120.492479213197086,47.389684054518575,53,01779804,0400000US53,53,WA,Washington,00,172121026344.000000000000000,12540093192.000000000000000
-82.791383361557436,40.295416163765097,39,01085497,0400000US39,39,OH,Ohio,00,105831379985.000000000000000,10266305761.000000000000000
-89.19752313550093,40.063482592332569,17,01779784,0400000US17,17,IL,Illinois,00,143794894211.000000000000000,6200606440.000000000000000
-92.47788976197954,38.368470265432713,29,01779791,0400000US29,29,MO,Missouri,00,178052626882.000000000000000,2487589369.000000000000000
-93.498960409294057,42.074916580459664,19,01779785,0400000US19,19,IA,Iowa,00,144667481633.000000000000000,1077969087.000000000000000
-100.230707779391366,44.435947057701462,46,01785534,0400000US46,46,SD,South Dakota,00,196349394266.000000000000000,3379810671.000000000000000
-92.437853988841354,34.900016832427362,05,00068085,0400000US05,05,AR,Arkansas,00,134769279101.000000000000000,2962525273.000000000000000
-89.662163444910036,32.750954690400782,28,01779790,0400000US28,28,MS,Mississippi,00,121531969224.000000000000000,3928386321.000000000000000
-105.547599999036052,38.998421917420586,08,01779779,0400000US08,08,CO,Colorado,00,268428431772.000000000000000,1175462574.000000000000000
-79.181807747170581,35.538690731879989,37,01027616,0400000US37,37,NC,North Carolina,00,125918092834.000000000000000,13472548815.000000000000000
-111.678062862776912,39.323781502959108,49,01455989,0400000US49,49,UT,Utah,00,212885012434.000000000000000,6999936465.000000000000000
-97.508964010578453,35.584301775150848,40,01102857,0400000US40,40,OK,Oklahoma,00,177663043025.000000000000000,3374050771.000000000000000
-107.551241950095573,42.999632416035233,56,01779807,0400000US56,56,WY,Wyoming,00,251465042238.000000000000000,1861255811.000000000000000
-80.611636169519045,38.644112509859561,54,01779805,0400000US54,54,WV,West Virginia,00,62266577599.000000000000000,489469489.000000000000000
-86.275006245638323,39.907819782661676,18,00448508,0400000US18,18,IN,Indiana,00,92790537698.000000000000000,1535887357.000000000000000
-71.759895345737448,42.235903555086836,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910.000000000000000,7130316321.000000000000000
